,text,class,embedding
10,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,2,"[-0.1374136   0.11564446  0.00946271 -0.08210822  0.12616948  0.0434729
 -0.15153412  0.46205487 -0.16735433 -0.05233092  0.13081094 -0.19454941
 -0.05086003 -0.03736055 -0.03079058  0.01843513 -0.18657393 -0.15728693
 -0.00274361  0.02900917 -0.07681303 -0.04958526 -0.11185283  0.07439423
  0.10688451 -0.06890292 -0.05197136  0.09544427 -0.01252706  0.06645144
 -0.05455359 -0.07184469 -0.14120522  0.02611643  0.16787732  0.0828927
  0.07530945 -0.19624912  0.05474971 -0.04883347  0.03726249  0.22880476
 -0.07315215  0.08982221  0.06037177 -0.04474767 -0.06491518  0.11368328
  0.00202451 -0.01077834 -0.07766287 -0.08099688 -0.08269658 -0.04164247
 -0.05854133  0.07576706  0.0384392   0.4667617   0.04314604 -0.08282732
 -0.02745657  0.08661894  0.12786918  0.09930127]"
11,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",1,"[ 0.00104305  0.01218371 -0.0170809  -0.01810229  0.01262144 -0.08842307
 -0.08805828  0.24542507 -0.12154523  0.04578009 -0.15656427 -0.10724579
 -0.18253672 -0.1615253  -0.1044005   0.01533907 -0.00576811 -0.14642334
 -0.15904479 -0.13467737  0.06901668 -0.16634041 -0.01957053 -0.12351505
 -0.07102298  0.05125182 -0.07295632  0.07452489 -0.1650272   0.02923725
 -0.08565072  0.02164979  0.0095664   0.18749776 -0.02314539  0.06799529
  0.03051398 -0.10746467  0.2156589   0.14956047  0.03647816  0.13533398
 -0.1650272   0.17144737  0.07208085  0.11687603 -0.12781948  0.00368885
 -0.02243407 -0.25943269  0.19304244  0.22879104 -0.06719277  0.10593258
  0.01234786  0.08820419  0.08105448  0.34406203 -0.02996681  0.0721538
 -0.19975442  0.03179072  0.21215698 -0.0333228 ]"
12,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",1,"[-0.03728881  0.06376729 -0.0469018  -0.16215501 -0.04744916  0.02425483
 -0.01460764  0.1141243  -0.16448129  0.15709195  0.04707285  0.02548639
  0.02394694 -0.05282012 -0.0482702   0.21319622 -0.13478709 -0.08668793
 -0.05750687 -0.14190275  0.10721389 -0.07881965 -0.19472286 -0.02464825
  0.13088715  0.00573444  0.109677    0.0851827  -0.1438185   0.15627091
  0.19253344  0.07231977 -0.12185573  0.12281361  0.3117208  -0.07040402
  0.09530884  0.15791299  0.15654459  0.10871912 -0.03544148 -0.04077822
 -0.24535355  0.10304028  0.06096208  0.11248222 -0.0558648   0.04454131
 -0.00760315  0.12096628  0.11302957 -0.02606796 -0.00050112 -0.03506517
  0.13027138 -0.09715617  0.10194556  0.46744435  0.08600374 -0.01347016
  0.0175839  -0.13567654  0.07991438  0.00633311]"
13,"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .",1,"[ 0.05175511  0.0630656  -0.0263853  -0.02682302 -0.01414686  0.07773772
  0.12935276  0.30983033  0.10554121  0.18979208 -0.04881369 -0.06992893
 -0.01045257  0.0029458  -0.36977941  0.15799666 -0.1438498   0.06565686
  0.04223049 -0.09454588  0.22873099  0.03540218 -0.01920682 -0.02374152
 -0.14020803  0.11408536 -0.12424029  0.09111421  0.03508702  0.22060704
 -0.057708    0.00044346 -0.00062046  0.03757323  0.26893049  0.13649623
  0.01574014 -0.16443979 -0.09622669  0.09125428 -0.09230478  0.03550723
 -0.11639648  0.03554225 -0.05375108  0.03543719 -0.12837228 -0.05830329
 -0.00293486 -0.2050595   0.055642    0.09720716 -0.072135   -0.18166815
  0.06047434 -0.072135   -0.14314945  0.23405357 -0.12991303  0.01047883
 -0.14237908  0.10988331  0.06852825  0.20001704]"
14,"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",1,"[-2.30464244e-01 -2.44705593e-02  1.62745493e-02  1.16750232e-01
 -3.15912405e-02  2.35813786e-01 -7.28694965e-02  1.37497802e-01
  1.77836272e-02  2.96972107e-01  1.73643392e-01  4.31216803e-02
 -1.43064222e-01 -1.85354549e-01 -2.16873502e-01 -3.03442170e-02
 -2.14560179e-01 -5.11098530e-02  8.40746261e-02 -8.17613123e-02
  3.54000801e-03  1.25352880e-01 -1.47040234e-01  2.10367289e-01
  1.00195560e-01  1.58173065e-01  1.20726252e-01 -1.33648290e-02
  9.89666089e-02  1.00050972e-01  1.08219873e-01  2.58621643e-02
  2.29885922e-02 -1.46461907e-01  1.67426338e-01  7.09176354e-02
  7.44599002e-02  4.05698044e-01 -3.28744088e-02 -4.65193658e-02
 -6.32999516e-03 -1.29473480e-01  5.41822306e-02  2.39103032e-02
  1.93198138e-02  1.59908070e-01  5.62063813e-02 -7.82190385e-02
  3.86757723e-02 -1.46895654e-01  3.75914074e-02  1.18268350e-01
 -9.25326951e-02 -4.56880168e-02  3.77359889e-02  7.93756999e-02
 -2.50669624e-02 -3.61173459e-04 -2.75971541e-02  9.88220296e-02
  1.17744241e-02  6.76283889e-02  1.88390786e-01  1.00557017e-01]"
15,"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",2,"[ 0.08820989  0.25270032 -0.01974221 -0.07594451  0.04410494  0.0312235
 -0.09705888 -0.00406046 -0.00762385  0.0080649   0.08372938 -0.04690526
 -0.10232347  0.04326485 -0.20946348  0.09448259  0.00397295 -0.03290369
 -0.10327558 -0.17149122 -0.01914015 -0.07023187  0.07269615 -0.09789898
 -0.02926328  0.00522259 -0.06115886 -0.01474365 -0.13497513  0.05791049
 -0.08244124  0.18280449 -0.08736979  0.16141009 -0.06888772 -0.01727794
 -0.00192697 -0.00454001 -0.04796938  0.10506778 -0.08367338  0.03203559
  0.02353664  0.19971839  0.04326485  0.1908694  -0.03253965 -0.09028212
 -0.07756869  0.16835487  0.0883779   0.10293954 -0.16421041  0.15928186
  0.00229801  0.01031216 -0.13004658  0.59904314 -0.01806202 -0.01895813
 -0.20195863 -0.02462876  0.17966814  0.06311907]"
16,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,1,"[-0.04536193 -0.0012665  -0.04068808  0.17760621  0.06357713 -0.22447273
 -0.18989906  0.27402832 -0.02801107  0.18925881  0.23996686 -0.06245669
  0.01094833 -0.04398538 -0.06581802 -0.10237647 -0.01607836 -0.14341669
  0.05704655 -0.31935825 -0.20308828  0.02949966  0.09290073 -0.01410157
  0.17299638 -0.01254896  0.08688234  0.05173245 -0.02044008  0.0450418
  0.07215652  0.07055589 -0.15033141  0.05400535 -0.11358089  0.04180852
  0.12619388  0.23369237  0.05714259  0.15289244  0.08099202 -0.00670665
 -0.07881515  0.2393266   0.01661457 -0.0392155  -0.09398915  0.18849051
  0.08150422 -0.04334513 -0.01834325  0.04693055 -0.03425354  0.02188065
  0.10551371 -0.00646656 -0.02695465  0.24304006  0.19822235  0.12997137
 -0.09699835 -0.00603839  0.17504519  0.14380084]"
17,"Body The credit falls due February 24 , 2014 .",1,"[-0.18945151  0.1565518   0.0445815   0.17308112 -0.00770342 -0.22680143
 -0.18722641  0.32963294  0.01286387  0.28528983  0.17991537 -0.09250066
  0.16735944 -0.01236719  0.01347975 -0.06027642 -0.27575367  0.03001901
 -0.23617865  0.02231062 -0.18579599  0.22139761 -0.0359791  -0.0575745
 -0.20836489  0.0632962  -0.07124299  0.06321673  0.01658893  0.08193142
  0.00373996 -0.00082758 -0.02290663 -0.05344217  0.12436729 -0.0803818
  0.14558522  0.09480522  0.00569686 -0.20089489  0.11435434 -0.05530967
 -0.11069881  0.02070139 -0.04021077 -0.10100373  0.05737584  0.07223634
 -0.0549918   0.04915091  0.02405891  0.09170598  0.06115056  0.12722814
  0.10966573 -0.10418244  0.02795284  0.14852553 -0.07970632  0.1332677
 -0.03238318  0.11649996  0.06647491  0.0697331 ]"
18,The amendment will not incur additional costs .,1,"[-0.04785499  0.1164797   0.00188205  0.14493226 -0.01058019 -0.11530773
 -0.16459512  0.25965402 -0.09701216  0.07800038  0.11192208  0.0417022
  0.29663583 -0.0744845   0.18321624 -0.01392515 -0.24624159 -0.07552624
 -0.01871879 -0.02046045 -0.06868982 -0.12246971 -0.0267109  -0.11146631
  0.06100697  0.01559356 -0.10808066  0.19871214  0.18399754  0.13542637
 -0.07897701  0.04114878 -0.0115324   0.0457064  -0.0023663  -0.03489833
  0.15652162 -0.13386375  0.01853974  0.10209064  0.02218583  0.01412862
  0.02265787  0.20730651  0.15821445  0.06361133 -0.07969321 -0.05179408
 -0.08353463  0.12956657  0.24142354  0.13399397  0.06351366 -0.02954313
 -0.08249289  0.09414736 -0.03991171  0.23178743 -0.20509281  0.18569037
 -0.04733412  0.02256021  0.21889588  0.20222802]"
19,"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",0,"[ 4.77408336e-02  2.46240673e-02 -3.00590450e-02  9.18293675e-02
 -9.44961300e-02 -1.41686223e-01  5.04075961e-02  7.13068944e-02
 -9.73368075e-02 -6.86981083e-02  1.19656445e-01  8.62639464e-02
 -2.61574555e-01  5.28714530e-02 -3.37171451e-01  8.46407022e-02
  1.30294506e-02 -1.52932999e-01  1.21627538e-01  3.32765501e-02
 -1.59425986e-02 -7.67563675e-02  6.13934996e-02 -1.89803882e-01
 -2.41399926e-01 -6.49298559e-02 -2.14500414e-01  2.29573419e-02
  1.45725311e-04  5.82339638e-02 -1.73774326e-02 -1.07771961e-01
 -1.22323207e-01  1.46208117e-01  2.91459678e-02  1.09916970e-01
  1.70585802e-02 -5.21757789e-02  1.74383043e-01  7.00894612e-02
  5.27844955e-02  2.16703394e-01 -1.49686511e-01  1.67890047e-01
 -1.53280839e-01  4.71321170e-02 -1.69397348e-01 -3.28453776e-03
 -5.56831494e-02 -2.46733451e-01 -7.61766319e-02 -1.40526762e-01
  4.52769813e-02 -3.03199246e-02  1.10844535e-01  2.35515656e-02
  6.69589160e-02  3.68708828e-01 -8.08144781e-02  1.21627538e-01
  1.07250205e-02  1.06380606e-02  4.64074571e-02 -3.93927114e-02]"
20,"So far as is known , he did not sell shares that he owns personally .",1,"[ 0.12696333  0.08064919 -0.07588043 -0.03074893  0.10315771 -0.04074424
 -0.11750212  0.05245631  0.02010507  0.32809035 -0.00198857  0.0075251
 -0.1761006  -0.03010038 -0.07259953  0.17747399 -0.05974297  0.08179369
 -0.15015856 -0.18067859  0.1803734  -0.22020204 -0.21516623 -0.10422591
 -0.0898052  -0.03225586  0.01282795  0.06748743  0.0882029  -0.1880034
  0.06489322 -0.10483632 -0.15702557  0.12459804  0.26537169 -0.10254731
  0.03731074 -0.19883802 -0.06657182 -0.17503239 -0.02515995  0.10018201
 -0.23149444  0.14046845  0.17274339  0.06058227 -0.17533759 -0.11582353
 -0.03412521 -0.05951406  0.06931863  0.06096377 -0.02659058 -0.00826902
  0.00658565  0.10529411 -0.11902813 -0.00160588  0.12475064  0.19822761
  0.02439695 -0.07881799  0.15397357  0.07603303]"
21,"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",1,"[-0.12208759 -0.0688685  -0.00860856  0.00148968 -0.01524708  0.00163968
 -0.15116664  0.05543886 -0.15027872  0.14117765  0.00200994 -0.01434529
 -0.03168728 -0.07436244 -0.05668749  0.2036643  -0.23440817  0.00448811
 -0.04253643  0.01213939 -0.05088833  0.00713103  0.11109971  0.04114907
  0.13496228 -0.02960624  0.10560576  0.07846902 -0.12242055  0.25438615
 -0.0319925   0.117981   -0.08768108  0.12952383  0.17514019 -0.01793855
 -0.06947894  0.05274739  0.21742689 -0.15571718  0.07397398  0.00051506
  0.01841025  0.21853679  0.15427431  0.15449629  0.02609622 -0.16936878
 -0.07092179  0.02576326  0.02167055 -0.06737015 -0.05238667 -0.22142249
  0.11109971 -0.02501408  0.10194314  0.47902731 -0.03854083  0.1347403
 -0.21098955 -0.00980863 -0.02400131  0.10094424]"
22,Karppinen expects the consolidation trend to continue in the Finnish market .,1,"[ 4.58591808e-02  4.89964331e-02 -7.95384646e-02  8.37214587e-02
  7.81236285e-02 -2.76816000e-02 -7.45557722e-02  6.69279547e-02
 -1.83682798e-01 -1.34225004e-01  1.75808906e-01  2.00076446e-02
  2.03046449e-04 -2.18130996e-01 -1.97954187e-01  5.02267220e-02
  4.18299722e-02  3.29103448e-02 -7.33869975e-02 -1.74578621e-01
  1.63259914e-01 -3.56046871e-01 -9.62704499e-02 -6.66818978e-02
  7.28948792e-02  2.82198517e-02 -1.43329172e-01  7.67703067e-02
 -1.28319593e-01  1.46404901e-01  8.59975029e-02  1.19707539e-01
 -2.70280052e-03  1.71871977e-01  5.55784998e-02  1.31026237e-01
 -8.35369161e-02  1.71995006e-01  1.89834256e-01  1.06789463e-01
  2.67957876e-01 -2.12533166e-02 -7.05573208e-02  1.42714020e-01
  2.50518468e-02  8.80274902e-02 -1.56739371e-01  2.28988333e-02
 -8.47056953e-02 -2.01399020e-01  4.17992151e-02 -2.00230232e-02
  1.61014634e-02 -7.12032235e-03  1.17739066e-01  7.65857550e-02
 -6.81582481e-02  2.76323882e-01  4.54285812e-02  2.54424657e-01
 -7.84311997e-02 -2.14839972e-02 -5.27488276e-03 -7.52324376e-02]"
23,We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1,"[ 0.14752701 -0.1035676  -0.06811437  0.0381804  -0.02159011  0.04915403
 -0.17882455  0.35661018  0.25687361 -0.06288729  0.1622018   0.00657443
  0.01118465 -0.07811399 -0.30206675  0.10213908 -0.01418779 -0.05051761
 -0.12324219 -0.17544806  0.10811288  0.07441283 -0.01259694 -0.00767829
  0.08636044 -0.1355794  -0.03399225 -0.02274267 -0.05610182  0.11045046
  0.01754805  0.27141853 -0.07863346  0.0807113  -0.34855854  0.10110015
  0.23193947  0.05019295 -0.0554525   0.10045083 -0.01717469  0.10713889
 -0.09603541 -0.02456078  0.02745028  0.07993211 -0.02108688  0.0616211
 -0.00956945 -0.04977089  0.08181516  0.02282383 -0.00681387 -0.10071056
  0.05330972  0.14415051  0.05003062  0.12239807 -0.08616564  0.06525733
 -0.00571002  0.03999852  0.26310716  0.14726728]"
24,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",0,"[ 0.03055194  0.11818998  0.04121025 -0.04313544 -0.00396896  0.14586809
 -0.10290006  0.25870103 -0.18660402 -0.06026685  0.20680456 -0.03855962
 -0.22008559  0.13414954 -0.17309978 -0.11473022 -0.10909415 -0.08537804
  0.10474155  0.07114836 -0.01919611 -0.07639381 -0.04048481 -0.05153374
 -0.1058576  -0.01584795 -0.08091382 -0.03448603  0.07064614  0.04921793
 -0.08950743  0.0614945  -0.11718554  0.02583662  0.16082321  0.24553161
  0.10284426 -0.20479567  0.24106739  0.16216246  0.23013007  0.10005413
 -0.02205599  0.13515399  0.03431862 -0.15524293 -0.09983092 -0.02074463
 -0.05859277 -0.09547831  0.02716193  0.11244231 -0.07349207 -0.03004972
 -0.02246056  0.05161744  0.03069145  0.35401194 -0.09268818  0.09698498
  0.00282152 -0.02580872  0.2330318  -0.12968532]"
25,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",2,"[ 0.07098138  0.05534818 -0.05405095 -0.07650289  0.08082697 -0.00739251
 -0.05754348  0.09719194 -0.12247115  0.22565026  0.09499663 -0.01101808
 -0.1374391   0.07477326 -0.10211473  0.13943483 -0.06326456 -0.1198767
 -0.09905461 -0.1311193   0.20516079 -0.02950351  0.03397726 -0.08102653
 -0.05674519 -0.00794133  0.08235702 -0.04989319  0.0334617  -0.01414472
  0.05494903  0.08821115  0.03307918  0.20981748 -0.01970781 -0.021953
  0.09639364 -0.03482545  0.14595421 -0.13916873  0.15380407 -0.22072747
 -0.08016173  0.35178024 -0.02188648  0.05119041  0.00775423 -0.18852973
 -0.07863167 -0.08322184  0.03409368 -0.04989319 -0.16072258  0.09838936
  0.09705888 -0.03472566 -0.01945834  0.52580768 -0.0935331   0.03347833
 -0.13584252  0.03944888  0.00909719  0.07417455]"
